title,content,topics
"Panjim: Reflecting on 50 Years","At the age of thirteen, Panjim became a part of my life due to monthly visits to Goa Medical College for treatment of Rheumatoid arthritis. This continued for a few years until I stopped the treatments. One injection was particularly painful due to the non-micro needles used back then. Consequently, Panjim wasn't associated with pleasant experiences.
 
 In May 1972, I stayed in Panjim for twelve days, not on a vacation but in a hospital prior to follow-up treatments. Thus, I can safely share my observations of Panjim over the last fifty years.
 
 My daily trips to Panjim began in 1975 after failing tenth grade (a story for another time). With time on my hands, I traveled via launch service from Diwar (Gazolin) to Panjim Navigation Department.
 Back then, Panjim still had a colonial atmosphere. The Portuguese word for officer, ""empregado,"" was frequently heard, and siesta was observed by closing shops and offices between one and three in the afternoon. People leisurely enjoyed lunch and ""cerveja"" (beer) was popular.
 
 Commercial Panjim centered around St. Tome square, also known as Tobacco square, where our small shop, L.A. Armacar, was located. Most dwellings were two stories high with tile rooftops. Hotel Mandovi and later Tourist Hostel were prominent buildings. Cars were few; ""Ponte de Linhares,"" the bridge, was the entry and exit route to the city with a stop-and-go sign operated by the police.
 Restaurants served Goan food without Chinese or Mughlai influences; Udupi cuisine marked the first culinary change.
 
 Now, fifty years later and back in St. Tome, memories flood in as I count the merchants (known as ""negociante"" back then) and recall their business practices. Most establishments have closed or changed, supporting the idea that businesses have a lifespan of about forty years unless they adapt.
 
 Emotions stir within me as I accept that the square has retained its architecture but its soul and the surroundings have changed. I console myself that fifty years have changed me as well.","memories, musings"
"Body and Mind","We often mention the need to control our bodies, which may be true, but sometimes the mind enters overdrive when it realizes the body isn't meeting expectations - we call this sickness. At this point, we must train our minds not to think of extreme solutions, but instead allow our bodies the opportunity to activate all available options to return us to the right course.
 
 It's important to acknowledge that our bodies have built-in remedies for everyday ailments that don't require specialist intervention. This is not to undermine medical professionals, whose value is truly appreciated when we are in distress. However, we must also recognize that medicine is a profession, and like all professions, it involves financial considerations.
 
 The existence of more hospitals doesn't necessarily mean fewer patients; rather, for medical professionals to thrive, they must not only cure existing patients but also create new ones.",musings
"Perfection","Perfection is a pursuit and will remain so, though many of us strive to attain it in our endeavors. Keep in mind that perfection is a relative phenomenon, not an absolute one.
 
 One may satisfy their urge by deeming the outcome perfect, which is relative to one's feelings, but nothing can be absolutely perfect. It is rightly said that perfection is boring, as it halts progress, and life is essentially a work in progress.
 
 Let perfection be your pursuit, and progress will follow.",musings
"Reflecting on Pascu's Milestone","As my youngest sibling Pascu (Anand) approaches his half-century milestone, I can't help but reflect on a similar, albeit different, moment in my own life. Forty-seven years ago, while in ninth grade, my young mind grappled with life's challenges and the overwhelming anxiety of uncertainty. To comfort myself, I reminded myself that nothing is permanent and things would change.
 
 I then daydreamed about the day Pascu would complete his fiftieth year. I pictured how we would look, where we would be, and what our status might be, hoping we'd all be achievers in our own right. Most importantly, I wondered if I would remember this moment.
 
 Today, as that day approaches, I'm humbled and ecstatic to realize my wish of us being achivers has come true. Though I wish all ten of us could gather to commemorate this event – sitting in silence, reminiscing about the past with gratitude for our wonderful journey thus far, the pandemic has made this impossible.
 
 Nevertheless, this red-letter day fills me with overwhelming emotion and a desire to celebrate it:
 
 Cheers to the day!
 
 Happy Birthday Pascoal Anand Hermigildo de Delfino Pereira
 
 Stay young and blessed, brother.","family, memories, musings"
"Grandfather's Joy: Maya's Impact","Xapai,
 The title I opted for; instead of grandpa 
 Now sounds even sweeter when my granddaughter Maya
 Calls me by it.
 Sixty one years to earn this title,
 Probably nature, in its wisdom, chose the perfect moment.
 
 I feel truly blessed by my granddaughter, for she has invigorated my life.
 It is often said that to feel different, one must awaken the child within. This is precisely what occurs each time Maya is with me; the child inside me stirs. However, I also envision her journey through a long life ahead. Intelligent and already conscious of her appearance, she desires to be well-groomed and often affirms her own beauty.
 
 I know she will perceive life differently than I did, as her future lies in an advanced world. My hope is that she adheres to worthy values, and perhaps some parts from my writing will aid her in achieving this.","family, musings"
"May the soul rest in peace","This phrase, often employed to console, seems to be on autopilot these days. We must thank whoever initiated this comforting expression, as it has undoubtedly simplified our lives. Yet, having used it countless times, I find myself questioning its meaning and my authority to wish such a thing for the deceased.
 
 What is the soul? My search began with the dictionary, which defines it as the spiritual and immaterial part of a human being, regarded as immortal. This immortality implies that the soul is endless. Thus, another question arises: what does peace mean for something infinite?
 
 In our world, we experience peace when we recognize and overcome its opposites – violence, chaos, unrest, confusion, etc. Therefore, peace cannot be endless. Since the soul is immortal, it seemingly disqualifies from experiencing eternal peace. So I decided to abandon the phrase altogether.
 
 This realization led me to ponder why we feel anguish over death. Ultimately, death signifies the end of everything for the deceased; we have no authority to wish them anything but to remember their deeds fondly if they inspire positive feelings.
 
 However, we tend not to practice this because our emotions focus on what we lose when someone dies and what we may miss after our own demise. Thus, it has more to do with ourselves than the departed.
 
 Rather than wishing for souls to rest in peace after death, perhaps it is more fitting to ask ourselves: how content is my soul while I am alive and well?",musings
"Frustration: A Common Dilemma","We all construct our ideal worlds, influenced by our expectations and desires. Often, we attempt to enforce these ideals on others to achieve our goals. However, when met with opposition, frustration arises, casting a gloomy outlook on the future. This is particularly common when the implementation of our ideals is dependent on others.
 
 It is essential to recognize that each of us has unique expectations aimed at improving our individual worlds. We take ownership of ""our world"" but it has to be ""my way"". This attitude proves to be impractical. At this point its crucial to recognise that one can improve the situation on focusing on things within one's control.
 
 Accept that you are ultimately responsible for your happiness. If necessary, adjust your perception and focus on living life on your terms within a smaller scope. The world is beautiful ‚Äì don't squander your time indulging in frustration.",musings
"Marriage","Getting married is not an achievement; sustaining a marriage for a lifetime is, especially in today's environment. Admittedly, aligning two minds for a lifetime is no easy task. However, such an admission rarely comes to light before the marriage, as it is often portrayed as ""made in heaven."" To me, this notion seems illogical unless heaven is as good as marriage. Then, at times one might wonder where hell resides.
 
 Marriage is a worthy endeavor only if both parties accept that it comes with an unknown package and unforeseen challenges to overcome, bound by love rather than law. Respect for one another should supersede all else; with a respectful mindset, true love can flourish while mere infatuation fades. 
 
 Love at first sight moments do exist, but it is crucial to remember that sight is not constant.
  
 Despite conflicts there are lasting partnerships not because they are made in heaven but could be attributed to one or both partners being divinely crafted.
 
 A happy marriage is always a work in progress.","musings, family"
"Maria Antonia: A Life Journey","10th July 1928
 
 A first child was born to the proud couple, Simao Luis Gomes and Catarina Aguiar. They named her Maria Antonia Gomes.
 
 I imagine that day must have been filled with celebration. Simao likely called his friends and shared a drink of feni under a tree near his house in Maddant.
 
 Maria was a beautiful child. Unfortunately, she contracted chickenpox at a young age, a dreadful illness in those days. With devoted care from her parents and her uncle Manuel Aguiar, she prevailed. The disease left scars on her lovely face, but her beauty remained intact.
 
 Maria attended the local school, completing primary education. On 14th May 1949, at the age of 21, she married the handsome Luis Antonio Pereira. He was her neighbor but worked in Bombay. Their wedding took place at St. Xavier Church in Dabul.
 
 After their marriage, Luis Antonio relocated to Goa. In their 23 years together, they had eleven children. Tragically, their eldest child Indira passed away as an infant. The remaining ten children persevered; I am one of them.
 
 Our mother was a saint personified. By default, she inherited the name Aurora, which literally means ""the dawn."" A fitting tribute to this remarkable woman who once graced this planet.
 
 Happy Alor Day!","family, memories"
"Future and Fortune","When pondering parents' aspirations for their children's future and fortune, a clear conclusion remains elusive. From the moment a child is born, the notion of a secure future, accompanied by fortune, takes center stage. This phenomenon primarily affects middle-class families, causing them to lose sight of the true purpose of having a child.
 
 In focusing so intently on the future, parents often miss the present and their child's presence, leading to conditional love. This mindset essentially communicates, ""I will love you more if you meet my expectations."" Such an attitude confuses children, and its effects manifest when they become adults, with love becoming conditional in reverse.
 
 In pursuing fortune, we risk forfeiting our children's futures – futures they should shape themselves. It is crucial to remember that love ought to be unconditional. Cherish your child simply because they are your creation, but do not claim ownership of their future. The 'run fast, run far' attitude should change. We must remember that migration is a compromise one has to make due to circumstances pushing them or opportunities pulling them, but by no means is it a status symbol, which it is often mistaken to be. Guide them toward possibilities and recognize that having them close, both emotionally and geographically, is the true measure of fortune.","family, musings"
"My Father's Journey","Maka zai tench kortolom' - a phrase often uttered by my father, Luis Antonio, whose fiftieth death anniversary approaches on October 7, 2023. My dad lived life on his terms, as the Konkani phrase suggests. A self-made man, he passed away at forty-eight. I feel his life was like an incomplete journey, but I surrender to my belief that time is the ultimate ruler of our lives.
 
 Yet, I sometimes question my own approach to life. How much of it is truly on my terms, and how sacred should I hold that notion? My life isn't entirely on my terms, and rightly so. Terms need not be unyielding; they can bend for a better outcome. I wish my father had considered this option and listened to my mother, who passed away just over a year before him, leaving us ten children orphaned - a reality we've faced for fifty years come October 7, 2023.
 
 On this day, we plan to release a book detailing our experiences and journey thus far: 'The Armacars: Ten Siblings, One Story.'","family, memories, musings"
"Hanging Up on Gossip","Gossip is often referred to as the devil's telephone, and it's best to hang up. However, this is easier said than done. Gossip has been a part of human existence for ages, and life might seem dull without it. I admit that I have indulged in gossip from time to time, but I've tried hard to abstain.
 
 Although I can't claim complete success, knowing that I haven't gossiped provides a sense of satisfaction. Yet, one may unintentionally fall into the trap of adding value to a conversation that amounts to gossip. This typically occurs as a reflex action, without considering the potential harm caused by such conversations.
 
 To avoid gossiping, I have devised a simple method: refrain from discussing others in their absence, whether positively or negatively. If someone else brings up the topic, merely acknowledge the good aspects. Give this method a try; it may prove helpful.",musings
"Envy: A Silent Killer","Often perceived as harmless, envy is, in fact, a silent killer. As the saying goes, envy corrodes the vessel that holds it. Many of us misunderstand envy, believing it to be discontent with oneself for not possessing what others have - wealth, fame, beauty, and so forth.
 
 However, I cannot fully agree with this definition. How else can we explain the envy one billionaire has for another, one actor for their peer, or one beauty pageant contestant for their competitor? These individuals seemingly possess the same qualities, yet envy arises from their ignorance in truly knowing themselves. Instead, they rely on external validation.
 
 To prevent this corrosion of your own vessel, invest time in self-discovery. Once you recognize your true self, envy will naturally dissipate. Remember that another's success is not your failure.",musings
"Memories from Fifty Years Ago","Recalling feelings from fifty years ago is no easy task, yet some memories remain as vivid as if they occurred today. I distinctly remember being in the hospital (Goa Medical College, old building) on October 7th, 1973, when my father passed away. Today marks half a century since that fateful day, but one thing that eludes me is how I ended up there to be with my father. Despite my best efforts, I cannot recall a single instance leading up to that moment. This only reinforces the notion that I was not myself at the time.
 
 One memory that remains fresh is the sound of a knock on the door, which I desperately hoped would never come. With my father's condition precarious, a late-night knock seemed like an ominous confirmation of his passing. My father had instructed me to sleep at Uncle Ciriac's house since he felt better; our brother Joe and Joe Aguiar stayed with him. Although I left reluctantly, I dreaded that knock.
 
 When it came, I knew the outcome. Bravely accepting it, the child within me cried. The realization of ten of us being orphaned - with me being young at fourteen and six siblings behind me - was hard to believe.
 
 The echo of my cry resonates even now. I remember where I sat and the comforting hug of a young lady from Diwar, whose presence at such an early hour remains a mystery. She was the wife of a butcher named Mohamad and tried to console me with her tears falling onto my hand while uttering, ""Allah knows what's right.""
 
 Today, fifty years may have passed, but it feels like yesterday. In the same breath, I am astounded by our resilience, clearly displayed in what we have become today.
 
 This date has added yet another dimension to my life as I am celebrating my granddaughter Maya's birthday. Indeed, I am a proud Xapai. This is called destiny.","family, memories, musings"
"Hillman Husky: GDA 3894","Hillman Husky - that was our father's car back in the sixties, a hatchback. On the island of Diwar, there were few private cars - certainly less than five - so it was a luxury to own one, and we were part of that exclusive group.
 
 I remember the initial color: dark green base with a cream top, later changed to maroon bottom and cream top. In those days, cars usually had two shades. Rides in that car were scarce, mostly within the island. We would accompany our father on his bar trips, eagerly awaiting our share of Goldspot soft drinks served to us in the car. I can still recall the satisfying burp from that fizzy beverage.
 
 There were no air conditioners or music systems in cars back then; hand signals were the norm. The smell of petrol added charm, reminding us of the journey. However, it could be a curse for those prone to car sickness, like Prakash. Poor chap often had to be dropped halfway to Panjim, usually at Old Goa at a bar our father frequented. He was compensated with ice cream - albeit half-melted - but sometimes missed the fun of watching a movie.
 
 We have fond memories of that car. For me, another vivid memory is the sound of its engine at midnight on the night our father passed away. It had come to pick me up for the hospital visit; I recall the door noise and instantly knew it was our car.
 
 I wish we had kept it for posterity, but alas, it was not meant to be.","family, memories, musings"
"Feast of St. Francis Xavier","As November approaches, the island of Diwar buzzes with anticipation for the novenas of St. Francis Xavier's Feast. In the 1970s, we would walk to the ferry, which connected us to a wonderland.
 
 Back then, Goa was primarily inhabited by Goans, so the fair was mostly run by Goans with a few visitors selling religious items. We even had our own restaurant, POP INN, a fitting name for young entrepreneurs seeking enjoyment and profit. Our friends frequented the establishment, providing business and lending a helping hand just for the fun of it.
 
 I remember the quote painted on the wall saying: ""IF YOU HAVE NOTHING TO DO, THEN PLEASE DON'T DO IT HERE"" - a bold reminder to our friends to be productive.
 
 The highlight for me was the vespers night when less privileged individuals gathered to spend the evening with their local drum (ghumot), singing songs and attending the cross ladainha. A swig of local brew madachi feni kept spirits high. At dawn, they attended the feast day mass before making way for well-dressed attendees of the high mass.
 
 A notable feature of vespers night was matchmaking expeditions. Young girls from that community dressed elegantly, their faces displaying shy anticipation of a brighter future, while their parents eagerly attempted to arrange marriages.
 
 Nowadays, mobile phones have intruded upon this tradition. Nevertheless, I still attend vespers night in an effort to relive those cherished memories.","memories, musings"
"My First School","Attempting to recall my first day at school yields little success, yet I do remember one of my initial days. My school, a Marathi medium establishment, was situated within a temple around 1965. The only supplies required were a slate, known as 'paty,' and a chalk pencil called 'kadi.'
 
 Kindergarten, or 'opri' in Marathi, was one among five classes sharing one hall and one teacher - a recipe for chaos. Each class rhythmically recited lessons or tables, taking turns copying from the board based on the teacher's discretion.
 
 During that time, education was primarily between students and teachers; parents played minimal roles. There were no parent-teacher meetings, and educators were free to discipline students as they saw fit - occasionally causing pain.
 
 After studying in Marathi until third grade, I transitioned to an English medium school, repeating the third grade and losing an academic year. Comparing today's schooling with our past experiences reveals stark contrasts. While I cannot dispute the quality of modern education, our era's schooling undoubtedly fostered resilience for facing the future.","memories, musings"
"Ism: Power of Now","In stagnant times, when dullness seems to prevail, give yourself a chance and embrace 'ism' - a term I've coined for 'now, the present.' By this, I mean to set aside the past and future, as most of our worries stem from them. Believe in the power of now, as it exists in every fraction of a second.
 
 Acknowledge that you are here despite the so-called impediments one might envisage, and embrace that this is all that matters.
 
 Master living in the present, and your day will pass without grievances.
 Do not anticipate seeing the hour hand of a watch move; you will be disappointed. However, rest assured that it does complete a 360-degree rotation each day.",musings
"Why I Think the Way I Think","Undeniably, we are products of our society. The information we gather stems from what we hear, observe, read, or experience, resulting in a two-way flow. But is it possible to make this flow one-directional?
 
 This process aims to understand oneself from within, delving deep into the abstract. Although seemingly intangible, its presence is undeniable. This thought process represents an alternate way of thinking, best practiced in isolation rather than as a daily routine.
 
 It provides solace during distress – the very distress that arises from being part of society. Yet, we cannot escape our societal roles.
 
 A quote comes to mind: ""I am not what happened to me; I am what I choose to become.""",musings
"Rikshaw and Eighteen Passengers","Eighteen passengers in one rickshaw (tuk-tuk) sounds impossible, but this was one record set on my island of Diwar.
 
 As they say, necessity is the mother of invention. This necessity arose in the eighties, and we had to invent ways to commute. The three-kilometer ride from the mainland to the ferry point at Old Goa was a challenge. Ten of us squeezing together in one rickshaw was the norm, and each passenger knew their role. Newcomers were guided by regulars.
 
 What strikes me today is that it was a genderless society - one could push themselves onto anyone's lap or hold any part for those three kilometers. There were no rules as long as one reached the destination. A variety of smells mixed with sweat created an unacceptable concoction, but one had to get used to it.
 
 Not all passengers were saints; some looked forward to these rides for pleasures other than reaching their destination, often reciprocated. I used to opt for tempo rides, which were equally chaotic and suitable for pleasure - pun intended.
 
 I gave up rickshaw rides after standing in one - yes, we stood! We held onto roof rails for support while standing on either side of the driver's open cabin to maintain balance. During one such ride, my head hit a protruding canopy from a cart while maneuvering a zigzag. Fortunately, it was made of bamboo rather than metal; otherwise, it could have been tragic.
 
 This wild thought of writing these memories occurred when I noticed rickshaws no longer ply this route.""","memories, musings"
"Dingo Pereira","Who is Dingo? May his soul rest in peace. I generally avoid this phrase, but for Dingo, I'll make an exception.
 
 Our family, the Pereiras, can only trace our lineage to my father, grandfather, and great-grandfather. Our family tree appears rather linear before us - six brothers and four sisters. Regrettably, sisters cannot continue the Pereira name due to historical convention.
 
 Our father, Luis Antonio Pereira, was eager to learn about his ancestors. His grandfather had to abandon his birthplace because of some issues, I am told. Luis frequently visited his ancestral land, seeking connections to the Pereira family tree with no success.
 
 During a Bombay trip, he encountered a man named Dingo Pereira over drinks. Noticing their shared surname and location, Luis thought he had found a family link. He told this tale to his sister Isabel Cristalin D'Sa (Pereira by birth), who was delighted by the discovery. She confidently shared it with us whenever possible. Isabel survived our father by twenty-three years, even though she was ten years older.
 
 She always maintained her maiden surname as Pereira in all conversations. She wanted her coffin's name plaque to mention it, and I ensured it did. Her loyalty to that name was strong, so her excitement over finding a link to her ancestor was understandable. Although we suspected our father merely comforted her, we didn't contest her claim.
 
 Twenty-seven years after Isabel's death and fifty years after my father's demise, while paying homage on his golden death anniversary, we were examining old family portraits when an inquiry surfaced about Dingo's identity. It was then that I silently wished: whoever he may be, may his soul rest in peace.","family, memories, musings"
"Ferry Tales","Meet me at the 6 o'clock ferry' - such phrases were often heard during my college days. As islanders, Diwadkars had the luxury of meeting friends for a delightful, free fifteen-minute river cruise, where topics and plans were discussed since there was no other easier mode of communication.
 
 Recalling those days feels like a luxury I miss today. Although we still cross the ferry, the camaraderie has been lost due to the intrusion of mobile phones, resulting in an individualistic attitude on display. It may sound vague to call those fifteen minutes spent on the ferry with friends a stress buster, but it truly was. We would discuss various topics, or some would eagerly await meeting their prospective life partners. Worry would surround them if they missed that ferry since they had to wait until the next day to clear their anxiety.
 
 In those days, it was almost taboo to have a relationship before marriage, so the ferryboat ride served as a discreet meeting spot. A smile from two meters apart sufficed to keep the flame alive for the next day, eventually building long-term relationships.
 
 The best times were sometimes during bad moments for some commuters, such as when the ferry broke down. Back then, Diwar had only one ferry and repairs took hours, so an impromptu gathering was inevitable. It was more enjoyable in the evening on the Old Goa side as bars were within walking distance. Every hour added value as we listened to changes in tone and topics among revelers who occasionally burst into song. The happiest individuals were courting couples since no parents questioned their late arrival.
 
 Our ferryboat in those days not only ferried us to the other side but also set many on their lifelong journey together. So here's a thanks to that matchmaking machine.","memories, musings"
"Conquering Fear with Childhood Wisdom","I often reflect on my youthful experiences to navigate my present, particularly when faced with unwarranted anxieties. One of them is fear. Fear, as they say, is only as deep as you think. This adage seems perfect for warding off negative thoughts, yet fear can still linger.
 
 At this point, I remember my childhood adventures - simple acts like going fishing early morning, barefoot in the dark, amidst thick vegetation without worrying about snake bites or other calamities. It appears that fear didn't exist then because I was focused on reaching my destination in a timely manner. Thus, I practice a similar attitude to dispel fear by concentrating on my objectives and moving forward.
 
 When you're focused and passionate about reaching your goal, fear loses its grip. Ultimately, you'll realize there's no such thing as fear itself; it's merely the fear of fear that keeps you stagnant. Fear doesn't exist; it's created.","memories, musings"
"Spend on Sunny Days","Save for the Rainy Days
 
 Upon hearing this phrase, one might instinctively brace for difficult times ahead. However, I have learned the art of enjoying the rain.
 
 Why vilify rain, which is often associated with prosperity? Granted, the saying has become popular.
 While I'm not against saving, as it does give one a sense of stability, it shouldn't come at the expense of relishing a sunny day. We must remember that the present we are in was once envisaged as our future.
 
 It's worth noting that the concept of saving is a modern invention. In earlier times, there were no banks, stocks, or insurance - practically nothing. People were foragers and didn't even hoard food, yet they persevered.
 
 In contrast, many contemporary individuals are so preoccupied with saving that they opt to live miserly only to pass away wealthy. I frequently remind my friends that what you earn isn't truly yours, but what you spend is.
 
 So enjoy your sunny days and be wise enough to spend.
 Remember, it's one life, it's your life - make it worthwhile.",musings
"Tape Recorder","I remember the first time I heard a tape recorder; it must have been in the late sixties. Goa was still in its innocent stage, yet to be exposed to technology beyond the radio and gramophone.
 
 From early times, Goans migrated to other lands for better opportunities. Many went to Africa, the British colonies, or the Gulf. It was one of our neighbors, who had come on a break from Kuwait, who introduced us to this tape recorder. Our village was primarily agrarian with paddy as the main product. Before taking it to the mill, the paddy underwent boiling and drying processes.
 
 Drying was done at the neighbor's space. As casual conversations and mild gossip ensued, he started his recorder, and after some time played the recording. At about eight years old, I still remember the astonishment on everyone's faces, including mine.
 
 It was a miraculous experience for all, yet simultaneously embarrassing to listen to our out-of-rhythm voices and the unease of gossip being recorded.
 
 This moment spontaneously came back to me almost fifty-seven years later as I enjoyed music of my choice from a cellphone on a sophisticated music system.","memories, musings"
"Light of the world
 A Retreat","I am the light.
 
 Back then, every diocesan school's tenth standard students attended a retreat at Bom Jesus, Old Goa, conducted by Fr. George D'Sa. My batch was in 1975-76. The retreat, under the guise of the Light of the World movement, welcomed all faiths. Thus, my friend Ankush, a non-Catholic, and I, a casual Catholic practitioner, shared a room for one week.
 
 Our friendship began in ninth grade when he shifted schools. Although his second language was Marathi and mine French, I ended up attending Marathi classes in defiance due to my differences with the French teacher. Our friendship blossomed over our shared rebellious attitudes. Our discussions often revolved around questioning life's purpose and exploring vague subjects.
 
 Ankush's father owned a shop, so cigarettes were easily accessible. We'd sit on separate branches of a tamarind tree in my backyard and discuss various topics. However, we didn't realize that our philosophical pursuits wouldn't help us in exams. As expected, we both failed our tenth grade, and to this day, I feel guilty for swaying his bright mind.
 
 Returning to the retreat – as rebellious teenagers seeking answers and smoking in our room – one thing that influenced us was Jim Reeves' morning song ""One Day at a Time"" and Fr. George's serene disposition. He entered our smoky room one morning with a knowing smile but said nothing; we stopped smoking for the remainder of the retreat.
 
 On the penultimate day, an overwhelming candlelit oath-taking ceremony took place. I walked out feeling saintly but alas, it lasted no longer than a week. Nonetheless, I recognize the impact it had on me, though not permanent.","memories, musings"
Failure's Reward,"In particular, this pertains to my academic setbacks, as I don't believe in the idea of failure making one a loser. However, you do lose an academic year, and thus are held back. In my case, I lost two years – one in the tenth grade and another in the twelfth. During these years, I learned more than what I would have gained academically. I hadn't chosen to fail, but my rebellious nature led to a future influenced by random consequences.
 
 One reward emerged from my efforts, and it wasn't merely by chance. Having been delayed by two years, and as my college days lacked daily attendance since I had to work at my shop situated between the bus stand and the college, I had the opportunity to observe students commuting to college. While leaning on my shop's doorframe, I noticed a lively girl walking towards the college. Curious about her class and college affiliation, I visited the canteen and discovered she was in the thirteenth class, one year junior to me at our college. I got myself introduced through a common friend (Lizy) and came to know her name in the year 1981.
 
 At that moment, I felt grateful for having failed twice; otherwise, I might have missed her entirely. Though I felt I was punching above my weight, it didn't deter me.
 
 Thus began my pursuit. As an irregular college attendee, the best opportunity arose when I opted for a National Service Scheme (NSS) camp in 1982.
 
 Learning she would attend as an NSS volunteer, I eagerly enrolled. Confident in my ability to impress her, I shared my feelings with my friend Ivo at a bar (George Bar) near our meeting point before departure.
 
 My first plan of action was to identify potential rivals. Once we arrived at our destination, I decided to sponsor drinks for them to better understand their intentions. Eventually running out of money, I returned home to gather what little funds I could. Fortunately, Prakash secured a deal that provided me with 250 rupees.
 
 Eager to return before dusk and capitalize on my opportunity, my friend Stanley offered his Jawa bike, and off we went to Keri next to Doda Marg. Despite getting lost briefly, we made it back.
 
 Armed with money, I treated the other contenders one last time, making my intentions clear with a firm request for them to keep their distance. They obliged, and my path was clear. I'm grateful for my failures because that young girl is now a grandmother – yes, my wife.
 Today she turned a senior citizen.
 19/7/24
 A union of forty-two years. I am stopping short of saying ""I am what I am because of her"" only because I don't want to blame her.
 That being said, I don't know how to thank her.","family, memories, musings"
Seeking Answers in Adolescence,"The seventies marked an awakening in my life. As an adolescent, my curiosity peaked, and I sought the purpose of my existence. This period intensified due to circumstances beyond my control, driving me to find stability within and around me.
 
 This decade continued the hippie culture of the sixties. The saffron robes of Bhagwan Rajneesh's followers, later known as OSHO, were visible everywhere. My curiosity led me to explore Rajneesh's teachings while balancing practicality and fantasy. I knew that ultimately, I needed to focus on work and provide food for the table. However, this didn't deter me from learning about Rajneesh and his predominantly foreign following. I pondered why these seemingly wealthy individuals sought answers in India.
 
 I purchased some of his books from flea markets in Anjuna and later acquired cassettes when Walkmans became popular. Some of his quotes profoundly influenced my life and pursuit of self-understanding:
 - Darkness is merely the absence of light; light a candle, and you will see the light coming in but not the darkness going out.
 - To know you don't know is knowledge; not to know you don't know is ignorance. Knowledge isn't knowing everything but knowing that you don't know.
 - Don't worry about life after death; ensure you're living before death.
 - Don't be a follower; be a student. Followers obey instructions, while students discover the truth.
 
 These quotes, though perhaps not exact, provided me with a sense of comfort within myself and my surroundings.","memories, musings"
Bombay,"My first trip outside Goa was to Bombay, now Mumbai, in the late 70s. My uncle Cruz, visiting from Kuwait, invited me to join him and his family. Eagerly, I accepted. We traveled by bus, which back then lacked air conditioning and had rattling windows that made sleep elusive. The journey took around 14 hours due to the steep ghats.
 
 We arrived in Bombay early the next morning. The city's stench was overwhelming, a stark contrast to my village life. During my stay, I marveled at the Gothic architecture and enjoyed the less crowded atmosphere compared to today's bustling metropolis. However, I did not use the railways—a wise decision considering my inability to cope with such chaos.
 
 After a week, I boarded a steamer for my return journey. Unprepared, I brought only cigarettes and no bedding or blankets for the night. The daytime voyage was pleasant; passengers mingled and enjoyed camaraderie during our 24-hour journey. At night, I won one hundred rupees playing housie and treated myself to a beer.
 
 The cold night forced me to stay close to the engine room where I consumed most of my cigarette pack. As we approached Goa's coast from the Arabian Sea, the sight of pine trees evoked a sense of belonging. That memorable trip remains close to my heart.","family, memories, musings"
Presence,"Reading these reflections, one might think I'm stuck in the past, nostalgic for the 70s and 80s. But I live in the present, grateful for how my past shaped today. I focus on the now rather than dwelling on the future.
 
 So why do my most vivid memories come from thirty years ago? The last 35 years have brought many blessings: marriage, children, prosperity, and respect. Life has gotten better. Perhaps I was less conscious of my goals then; I moved through life more instinctively.
 
 My cherished memories come from times when I was truly present. Today, life moves so fast that we often miss the journey, fixating only on the destination. Once there, we immediately look to the next goal, never fully experiencing the moment. This might explain why those earlier years remain so clear in my memory.","memories, musings, family"
Barberias to Salons,"The term 'barberia' has evolved into 'salon,' and with it, the entire trade has transformed. Initially, barberias were masculine spaces, frequented solely by men for haircuts or shaves. They were monopolized by specific castes and passed down through generations, resulting in highly skilled craftsmen called 'malle' in Konkani.
 
 The atmosphere at a barber's shop was unique. Visiting the barber was not only for grooming services but also to catch up on village news. Barbers had a knack for securing their customers' agreement, perhaps due to the sharp razor or scissor sounds. Disagreements were rare; there was either silence or support for the barber's views.
 
 Today's salons differ greatly; they are unisex and offer a wider range of services with various hairstylists. Upon arrival, clients choose from different massages and treatments, while hairstylists often become salespeople promoting beauty products. One is careful not to disappoint them as one's future appearance lies in their hands.
 
 In contrast, at the barberia, one could simply request a haircut or shave without much fuss. Options were limited to military cuts or normal ones. Occasionally, one would be at the mercy of an apprentice. In such cases, you might hear the common term 'hampailo,' which referred to a botched haircut.
 
 These memories remain vivid as I recall being a victim of an apprentice myself.","memories, musings"
Diwar Summer Camps,"The excitement of May, with its promise of holidays for our children, always transports me back to my own younger days. Summer camp, as the eager youngsters called it, was a family gathering that brought together a diverse group of children, some as young as a few months old. Being ten siblings, not all married at the time, the camps had two phases, and in the first phase, our nieces and nephews eagerly anticipated these reunions.
 
 Somehow, I managed to fit everyone into my Gypsy, along with two bicycles and luggage. Once we arrived at the holiday home, the atmosphere was one of freedom and spontaneity. No particular schedule dictated meal or bath times, and activities like fishing expeditions or cricket games were filled with laughter and friendly arguments.
 
 A shared bathing experience at the well became a lottery system to determine the order. As the final days approached, pleas to the gods for an extended stay were common. I took on the role of divine mediator and granted their wishes, sending the youngest off to pray at nearby crosses. These moments allowed me to relive my youth while witnessing their joy.
 
 On their departure, some took a stone or leaf as a souvenir to preserve cherished memories. Now, all from the first phase have grown and some are scattered across the globe. I hope they still treasure those moments spent together.","family, memories, musings"
